Year_Month,Date,Close,Log_Return,Company
2022-02,2022-02-01,408.2900085449219,-0.049761492868464687,日神グループホールディングス
2022-03,2022-03-01,427.4546813964844,0.0458705471693353,日神グループホールディングス
2022-04,2022-04-01,408.6903076171875,-0.044890599191690105,日神グループホールディングス
2022-05,2022-05-01,396.46453857421875,-0.03037107419190019,日神グループホールディングス
2022-06,2022-06-01,399.9576110839844,0.008771968257825426,日神グループホールディングス
2022-07,2022-07-01,378.9991149902344,-0.05382469924089818,日神グループホールディングス
2022-08,2022-08-01,391.22491455078125,0.031748753673111585,日神グループホールディングス
2022-09,2022-09-01,374.6327819824219,-0.043336325487768376,日神グループホールディングス
2022-10,2022-10-01,372.012939453125,-0.007017661002570112,日神グループホールディングス
2022-11,2022-11-01,373.7594909667969,0.004683881129214166,日神グループホールディングス
2022-12,2022-12-01,374.6327819824219,0.0023337798733559603,日神グループホールディングス
2023-01,2023-01-01,373.7594909667969,-0.002333779873355954,日神グループホールディングス
2023-02,2023-02-01,399.0843200683594,0.06556020478169979,日神グループホールディングス
2023-03,2023-03-01,414.80316162109375,0.03863137530840507,日神グループホールディングス
2023-04,2023-04-01,421.7438049316406,0.016593933995751278,日神グループホールディングス
2023-05,2023-05-01,431.8289794921875,0.023631596698067442,日神グループホールディングス
2023-06,2023-06-01,414.40911865234375,-0.04117593388437569,日神グループホールディングス
2023-07,2023-07-01,474.9201965332031,0.13629308744819443,日神グループホールディングス
2023-08,2023-08-01,476.7538757324219,0.00385359131211006,日神グループホールディングス
2023-09,2023-09-01,473.0865478515625,-0.007722025749271884,日神グループホールディングス
2023-10,2023-10-01,494.1737060546875,0.04360873888548695,日神グループホールディングス
2023-11,2023-11-01,476.7538757324219,-0.03588671313621512,日神グループホールディングス
2023-12,2023-12-01,451.9993591308594,-0.053319611954279304,日神グループホールディングス
2024-01,2024-01-01,467.5855407714844,0.033901544923995185,日神グループホールディングス
2024-02,2024-02-01,479.50439453125,0.025170752198481125,日神グループホールディングス
2024-03,2024-03-01,473.0865478515625,-0.013474710917468918,日神グループホールディングス
2024-04,2024-04-01,494.42181396484375,0.044110679083153324,日神グループホールディングス
2024-05,2024-05-01,517.4181518554688,0.04546232469774045,日神グループホールディングス
2024-06,2024-06-01,504.0036315917969,-0.026267878380357882,日神グループホールディングス
2024-07,2024-07-01,547.121826171875,0.08208802098996602,日神グループホールディングス
2024-08,2024-08-01,504.0036315917969,-0.08208802098996598,日神グループホールディングス
2024-09,2024-09-01,482.9236145019531,-0.04272498046791645,日神グループホールディングス
2024-10,2024-10-01,477.1745300292969,-0.011976178103492212,日神グループホールディングス
2024-11,2024-11-01,481.00726318359375,0.008000055152266526,日神グループホールディングス
2024-12,2024-12-01,506.878173828125,0.052388316244330387,日神グループホールディングス
2025-01,2025-01-01,511.6690673828125,0.009407376885683475,日神グループホールディングス
2025-02,2025-02-01,499.21270751953125,-0.024645790796043014,日神グループホールディングス
2025-03,2025-03-01,527.0,0.054168276041845195,日神グループホールディングス
2025-04,2025-04-01,520.0,-0.013371736965889308,日神グループホールディングス
2025-05,2025-05-01,509.0,-0.02138079502495033,日神グループホールディングス
2025-06,2025-06-01,498.0,-0.021847939525869775,日神グループホールディングス
2025-07,2025-07-01,516.0,0.03550668845690982,日神グループホールディングス
2025-08,2025-08-01,533.0,0.032414658684281866,日神グループホールディングス
2025-09,2025-09-01,571.0,0.06886778549016569,日神グループホールディングス
2025-10,2025-10-01,590.0,0.032733327243754856,日神グループホールディングス
2000-01,2000-01-01,N/A,N/A,シーラホールディングス
2000-02,2000-02-01,N/A,N/A,シーラホールディングス
2000-03,2000-03-01,N/A,N/A,シーラホールディングス
2000-04,2000-04-01,N/A,N/A,シーラホールディングス
2000-05,2000-05-01,N/A,N/A,シーラホールディングス
2000-06,2000-06-01,N/A,N/A,シーラホールディングス
2000-07,2000-07-01,N/A,N/A,シーラホールディングス
2000-08,2000-08-01,N/A,N/A,シーラホールディングス
2000-09,2000-09-01,N/A,N/A,シーラホールディングス
2000-10,2000-10-01,N/A,N/A,シーラホールディングス
2000-11,2000-11-01,N/A,N/A,シーラホールディングス
2000-12,2000-12-01,154.42420959472656,N/A,シーラホールディングス
2001-01,2001-01-01,187.23941040039062,0.19268464433671273,シーラホールディングス
2001-02,2001-02-01,301.1272888183594,0.4751449942681476,シーラホールディングス
2001-03,2001-03-01,332.01220703125,0.09763867460963363,シーラホールディングス
2001-04,2001-04-01,270.2424621582031,-0.20585217238320253,シーラホールディングス
2001-05,2001-05-01,337.8030700683594,0.22314352872887785,シーラホールディングス
2001-06,2001-06-01,430.6210021972656,0.24276526525030248,シーラホールディングス
2001-07,2001-07-01,336.6673889160156,-0.2461328915429592,シーラホールディングス
2001-08,2001-08-01,369.9425354003906,0.09425221738780118,シーラホールディングス
2001-09,2001-09-01,338.6247253417969,-0.088455194541283,シーラホールディングス
2001-10,2001-10-01,279.9036560058594,-0.19044703104168303,シーラホールディングス
2001-11,2001-11-01,422.7914733886719,0.4124336285190828,シーラホールディングス
2001-12,2001-12-01,352.32623291015625,-0.18232154235772313,シーラホールディングス
2002-01,2002-01-01,411.0472717285156,0.15415067982725836,シーラホールディングス
2002-02,2002-02-01,385.6015319824219,-0.06390368854148565,シーラホールディングス
2002-03,2002-03-01,272.07415771484375,-0.34872986791761135,シーラホールディングス
2002-04,2002-04-01,250.5431671142578,-0.08244343830605641,シーラホールディングス
2002-05,2002-05-01,225.09738159179688,-0.1070981138431829,シーラホールディングス
2002-06,2002-06-01,226.95257568359375,0.008207962316534787,シーラホールディングス
2002-07,2002-07-01,155.6533203125,-0.3771098493869947,シーラホールディングス
2002-08,2002-08-01,140.5901336669922,-0.10178242472581661,シーラホールディングス
2002-09,2002-09-01,117.89482879638672,-0.17605585819713787,シーラホールディングス
2002-10,2002-10-01,102.42991638183594,-0.14061412354805247,シーラホールディングス
2002-11,2002-11-01,105.2417221069336,0.02708099755043399,シーラホールディングス
2002-12,2002-12-01,97.40885925292969,-0.07734265571968414,シーラホールディングス
2003-01,2003-01-01,101.42571258544922,0.04040947087117004,シーラホールディングス
2003-02,2003-02-01,86.36249542236328,-0.16077313399556029,シーラホールディングス
2003-03,2003-03-01,84.7557144165039,-0.018780330079111878,シーラホールディングス
2003-04,2003-04-01,86.36249542236328,0.018780330079111965,シーラホールディングス
2003-05,2003-05-01,95.40043640136719,0.09952965207158947,シーラホールディングス
2003-06,2003-06-01,96.21028900146484,0.00845315334805188,シーラホールディングス
2003-07,2003-07-01,113.52811431884766,0.1655142032681905,シーラホールディングス
2003-08,2003-08-01,145.38442993164062,0.24733096549103425,シーラホールディングス
2003-09,2003-09-01,151.79843139648438,0.04317205656278133,シーラホールディングス
2003-10,2003-10-01,181.73048400878906,0.1799712008780359,シーラホールディングス
2003-11,2003-11-01,282.2167663574219,0.44015071825540736,シーラホールディングス
2003-12,2003-12-01,213.80062866210938,-0.27763151167700284,シーラホールディングス
2004-01,2004-01-01,222.35263061523438,0.03922060884438189,シーラホールディングス
2004-02,2004-02-01,280.0788269042969,0.2308065403543526,シーラホールディングス
2004-03,2004-03-01,307.8728942871094,0.09461592870455242,シーラホールディングス
2004-04,2004-04-01,397.66912841796875,0.25593330698871447,シーラホールディングス
2004-05,2004-05-01,525.949462890625,0.27958480606711394,シーラホールディングス
2004-06,2004-06-01,399.2398986816406,-0.2756426439269262,シーラホールディングス
2004-07,2004-07-01,447.2359619140625,0.11352384829656145,シーラホールディングス
2004-08,2004-08-01,309.7926330566406,-0.36718318631195407,シーラホールディングス
2004-09,2004-09-01,362.152099609375,0.1561611402232124,シーラホールディングス
2004-10,2004-10-01,314.15594482421875,-0.14217478605688058,シーラホールディングス
2004-11,2004-11-01,379.60516357421875,0.18924216712385045,シーラホールディングス
2004-12,2004-12-01,403.60321044921875,0.06130057366500695,シーラホールディングス
2005-01,2005-01-01,287.9762268066406,-0.3375543120614959,シーラホールディングス
2005-02,2005-02-01,292.33966064453125,0.015038416717277766,シーラホールディングス
2005-03,2005-03-01,272.7048645019531,-0.0695262196524222,シーラホールディングス
2005-04,2005-04-01,296.702880859375,0.08434110893716852,シーラホールディングス
2005-05,2005-05-01,277.06817626953125,-0.0684676373000168,シーラホールディングス
2005-06,2005-06-01,301.066162109375,0.08306644864646633,シーラホールディングス
2005-07,2005-07-01,294.52117919921875,-0.021979131974404924,シーラホールディングス
